"record_type","timestamp","symbol","side","entry_price","exit_price","size","gross_pnl","commission","net_pnl","duration_sec","reason","win_rate","regime","order_id","order_type","price","strength","filters_passed","executed","status","fill_price","fill_size","execution_time_ms","slippage","event_type","data"
"signals","2025-12-22T22:30:12.867297","ETH-USDT","buy","","","","","","","","","","ranging","","","2990.90000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:31:18.779573","ETH-USDT","buy","","","","","","","","","","ranging","","","2989.48000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:32:32.202199","ETH-USDT","buy","","","","","","","","","","ranging","","","2991.41000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:33:46.602963","ETH-USDT","buy","","","","","","","","","","ranging","","","2989.16000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:35:01.299020","ETH-USDT","buy","","","","","","","","","","ranging","","","2989.61000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:36:12.367292","ETH-USDT","buy","","","","","","","","","","ranging","","","2989.95000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:36:36.122441","BTC-USDT","buy","","","","","","","","","","ranging","","","88317.50000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:37:23.384492","ETH-USDT","buy","","","","","","","","","","ranging","","","2989.50000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:37:58.860357","BTC-USDT","buy","","","","","","","","","","ranging","","","88271.80000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:38:37.827372","ETH-USDT","buy","","","","","","","","","","ranging","","","2990.30000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:40:18.125506","BTC-USDT","buy","","","","","","","","","","ranging","","","88326.00000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:41:28.759426","BTC-USDT","buy","","","","","","","","","","ranging","","","88303.00000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:42:38.619145","BTC-USDT","buy","","","","","","","","","","ranging","","","88347.60000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:43:49.284448","BTC-USDT","buy","","","","","","","","","","ranging","","","88350.20000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:44:56.040329","BTC-USDT","buy","","","","","","","","","","ranging","","","88321.30000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:48:26.990338","BTC-USDT","buy","","","","","","","","","","ranging","","","88480.00000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:49:30.490756","BTC-USDT","buy","","","","","","","","","","ranging","","","88429.10000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:50:38.930415","BTC-USDT","buy","","","","","","","","","","ranging","","","88469.70000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:51:46.360627","BTC-USDT","buy","","","","","","","","","","ranging","","","88528.90000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:52:47.087408","BTC-USDT","buy","","","","","","","","","","ranging","","","88661.10000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:53:57.400566","BTC-USDT","buy","","","","","","","","","","ranging","","","88704.60000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T22:55:07.479591","BTC-USDT","buy","","","","","","","","","","ranging","","","88726.80000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T23:02:41.627362","BTC-USDT","buy","","","","","","","","","","ranging","","","88541.10000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T23:03:49.310318","BTC-USDT","buy","","","","","","","","","","ranging","","","88530.00000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T23:05:07.855597","BTC-USDT","buy","","","","","","","","","","ranging","","","88543.90000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T23:06:09.496843","BTC-USDT","buy","","","","","","","","","","ranging","","","88544.70000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T23:33:49.627198","ETH-USDT","sell","","","","","","","","","","ranging","","","3010.63000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-23T00:00:04.003823","ETH-USDT","buy","","","","","","","","","","ranging","","","3005.99000000","0.8517","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-23T00:01:12.536147","ETH-USDT","buy","","","","","","","","","","ranging","","","3005.05000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-23T00:02:19.915581","ETH-USDT","buy","","","","","","","","","","ranging","","","3005.23000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-23T00:03:27.881431","ETH-USDT","buy","","","","","","","","","","ranging","","","3005.69000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-23T00:04:36.007580","ETH-USDT","buy","","","","","","","","","","ranging","","","3005.39000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-23T00:05:44.697350","ETH-USDT","buy","","","","","","","","","","ranging","","","3004.78000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-23T00:06:45.563974","ETH-USDT","buy","","","","","","","","","","ranging","","","3005.12000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
